,wiki,website,company
121,https://en.wikipedia.org/wiki/G-Research,https://www.gresearch.co.uk/,G-Research
122,https://en.wikipedia.org/wiki/GLG_Partners,https://www.man.com/glg,GLG_Partners
123,https://en.wikipedia.org/wiki/GSA_Capital,https://www.gsacapital.com/,GSA_Capital
124,https://en.wikipedia.org/wiki/Lansdowne_Partners,https://lansdownepartners.com/,Lansdowne_Partners
125,https://en.wikipedia.org/wiki/LMR_Partners,https://www.lmrpartners.com/,LMR_Partners
126,https://en.wikipedia.org/wiki/Pharo_Management,http://pharo.com,Pharo_Management
127,https://en.wikipedia.org/wiki/Qube_Research_%26_Technologies,https://www.qube-rt.com/,Qube_Research_%26_Technologies
128,https://en.wikipedia.org/wiki/Rokos_Capital_Management,https://www.rokoscapital.com/,Rokos_Capital_Management
129,https://en.wikipedia.org/wiki/Scipion_Capital,False,Scipion_Capital
130,https://en.wikipedia.org/wiki/Systematica_Investments,https://www.systematica.com/,Systematica_Investments
131,https://en.wikipedia.org/wiki/Toscafund_Asset_Management,https://www.toscafund.com/,Toscafund_Asset_Management
132,https://en.wikipedia.org/wiki/Winton_Group,http://www.winton.com/,Winton_Group
